SheepID,Sex,Year_,Month_,Day_
22F,F,2011,2,22
22F,F,2011,2,23
22F,F,2011,2,24
22F,F,2011,2,25
22F,F,2011,2,25
22F,F,2011,2,26
22F,F,2011,2,27
22F,F,2011,2,28
22F,F,2011,2,28
22F,F,2011,3,1
22F,F,2011,3,2
22F,F,2011,3,2
22F,F,2011,3,3
22F,F,2011,3,3
22F,F,2011,3,4
22F,F,2011,3,5
22F,F,2011,3,5
22F,F,2011,3,6
22F,F,2011,3,6
22F,F,2011,3,7
22F,F,2011,3,7
22F,F,2011,3,8
22F,F,2011,3,8
22F,F,2011,3,8
22F,F,2011,3,9
22F,F,2011,3,9
22F,F,2011,3,10
22F,F,2011,3,10
22F,F,2011,3,11
22F,F,2011,3,12
22F,F,2011,3,12
22F,F,2011,3,13
22F,F,2011,3,13
22F,F,2011,3,14
22F,F,2011,3,15
22F,F,2011,3,15
22F,F,2011,3,15
22F,F,2011,3,16
22F,F,2011,3,16
22F,F,2011,3,17
22F,F,2011,3,17
22F,F,2011,3,18
22F,F,2011,3,18
22F,F,2011,3,18
22F,F,2011,3,19
22F,F,2011,3,20
22F,F,2011,3,20
22F,F,2011,3,20
22F,F,2011,3,21
22F,F,2011,3,21
22F,F,2011,3,22
22F,F,2011,3,22
22F,F,2011,3,23
22F,F,2011,3,23
22F,F,2011,3,24
22F,F,2011,3,24
22F,F,2011,3,25
22F,F,2011,3,25
22F,F,2011,3,25
22F,F,2011,3,27
22F,F,2011,3,27
22F,F,2011,3,28
22F,F,2011,3,28
22F,F,2011,3,28
22F,F,2011,3,29
22F,F,2011,3,29
22F,F,2011,3,30
22F,F,2009,12,1
22F,F,2009,12,1
22F,F,2009,12,2
22F,F,2009,12,2
22F,F,2009,12,3
22F,F,2009,12,3
22F,F,2009,12,3
22F,F,2009,12,4
22F,F,2009,12,4
22F,F,2009,12,5
22F,F,2009,12,5
22F,F,2009,12,5
22F,F,2009,12,6
22F,F,2009,12,6
22F,F,2009,12,7
22F,F,2009,12,7
22F,F,2009,12,8
22F,F,2009,12,8
22F,F,2009,12,8
22F,F,2009,12,9
22F,F,2009,12,9
22F,F,2009,12,10
22F,F,2009,12,10
22F,F,2009,12,10
22F,F,2009,12,11
22F,F,2009,12,11
22F,F,2009,12,12
22F,F,2009,12,12
22F,F,2009,12,13
22F,F,2009,12,13
22F,F,2009,12,13
22F,F,2009,12,14
22F,F,2009,12,14
22F,F,2009,12,15
22F,F,2009,12,15
22F,F,2009,12,15
22F,F,2009,12,16
22F,F,2009,12,16
22F,F,2009,12,17
22F,F,2009,12,17
22F,F,2009,12,18
22F,F,2009,12,18
22F,F,2009,12,18
22F,F,2009,12,19
22F,F,2009,12,19
22F,F,2009,12,20
22F,F,2009,12,20
22F,F,2009,12,21
22F,F,2009,12,21
22F,F,2009,12,22
22F,F,2009,12,22
22F,F,2009,12,23
22F,F,2009,12,23
22F,F,2009,12,23
22F,F,2009,12,24
22F,F,2009,12,24
22F,F,2009,12,25
22F,F,2009,12,25
22F,F,2009,12,28
22F,F,2009,12,30
22F,F,2009,12,30
22F,F,2009,12,31
22F,F,2010,1,1
22F,F,2010,1,1
22F,F,2010,1,2
22F,F,2010,1,2
22F,F,2010,1,3
22F,F,2010,1,3
22F,F,2010,1,4
22F,F,2010,1,4
22F,F,2010,1,4
22F,F,2010,1,5
22F,F,2010,1,5
22F,F,2010,1,6
22F,F,2010,1,6
22F,F,2010,1,7
22F,F,2010,1,7
22F,F,2010,1,15
22F,F,2010,1,15
22F,F,2010,1,16
22F,F,2010,1,17
22F,F,2010,1,17
22F,F,2010,1,17
22F,F,2010,1,18
22F,F,2010,1,19
22F,F,2010,1,19
22F,F,2010,1,20
22F,F,2010,1,20
22F,F,2010,1,21
22F,F,2010,1,23
22F,F,2010,1,24
22F,F,2010,1,24
22F,F,2010,1,24
22F,F,2010,1,25
22F,F,2010,1,25
22F,F,2010,1,26
22F,F,2010,1,27
22F,F,2010,1,27
22F,F,2010,1,27
22F,F,2010,1,28
22F,F,2010,1,28
22F,F,2010,1,29
22F,F,2010,12,15
22F,F,2010,12,15
22F,F,2010,12,15
22F,F,2010,12,16
22F,F,2010,12,17
22F,F,2010,12,18
22F,F,2010,12,21
22F,F,2010,12,22
22F,F,2010,12,23
22F,F,2010,12,23
22F,F,2010,12,23
22F,F,2010,12,24
22F,F,2010,12,25
22F,F,2010,12,25
22F,F,2010,12,25
22F,F,2010,12,26
22F,F,2010,12,26
22F,F,2010,12,27
22F,F,2010,12,27
22F,F,2010,12,28
22F,F,2010,12,28
22F,F,2010,12,28
22F,F,2010,12,29
22F,F,2010,12,29
22F,F,2010,12,30
22F,F,2010,12,30
22F,F,2010,12,30
22F,F,2010,12,31
